Date,Volume
18-05-2017,21056800
19-05-2017,34483200
20-05-2017,37919700
21-05-2017,36863600
22-05-2017,26580100
23-05-2017,24127600
24-05-2017,45099500
25-05-2017,30627700
26-05-2017,26814400
27-05-2017,21460800
28-05-2017,15029300
29-05-2017,23613300
30-05-2017,32497700
31-05-2017,34707300
01-06-2017,26229400
02-06-2017,21777700
03-06-2017,30901200
04-06-2017,47236500
05-06-2017,83308096
06-06-2017,79011800
07-06-2017,49199900
08-06-2017,54736300
09-06-2017,83641104
10-06-2017,43665700
11-06-2017,13345200
12-06-2017,17552800
13-06-2017,35221400
14-06-2017,38491500
15-06-2017,25267100
16-06-2017,26990000
17-06-2017,13600700
18-06-2017,11416800
19-06-2017,5914570
20-06-2017,16419000
21-06-2017,14188900
22-06-2017,11641300
23-06-2017,26456900
24-06-2017,15585700
25-06-2017,18127500
26-06-2017,11272500
27-06-2017,13033000
28-06-2017,7845880
29-06-2017,18192700
30-06-2017,30177900
01-07-2017,12545400
02-07-2017,16677200
03-07-2017,8603620
04-07-2017,12948500
05-07-2017,15655500
06-07-2017,19817200
07-07-2017,18797000
08-07-2017,16834200
09-07-2017,8535470
10-07-2017,24205600
11-07-2017,30450100
12-07-2017,15838900
13-07-2017,45783200
14-07-2017,58945000
15-07-2017,29589200
16-07-2017,15727500
17-07-2017,11905600
18-07-2017,41518800
19-07-2017,32222500
20-07-2017,18931800
21-07-2017,25233200
22-07-2017,29850100
23-07-2017,15273000
24-07-2017,15151600
25-07-2017,30930100
26-07-2017,25442200
27-07-2017,18601700
28-07-2017,8748030
29-07-2017,22946500
30-07-2017,15375600
31-07-2017,9194440
01-08-2017,11763000
02-08-2017,12364100
03-08-2017,13340100
04-08-2017,14529600
05-08-2017,15181800
06-08-2017,7009320
07-08-2017,6491650
08-08-2017,18898700
09-08-2017,32915500
10-08-2017,16427700
11-08-2017,32431300
12-08-2017,16989800
13-08-2017,11675900
14-08-2017,12415200
15-08-2017,17264200
16-08-2017,30864900
17-08-2017,37567900
18-08-2017,39173000
19-08-2017,23823100
20-08-2017,20856700
21-08-2017,15207600
22-08-2017,22315100
23-08-2017,16574200
24-08-2017,15092300
25-08-2017,9883640
26-08-2017,16410500
27-08-2017,15185200
28-08-2017,11676600
29-08-2017,12302500
30-08-2017,12528300
31-08-2017,13942900
01-09-2017,8036550
02-09-2017,7860650
03-09-2017,33054400
04-09-2017,55629100
05-09-2017,43962800
06-09-2017,23245700
07-09-2017,24866800
08-09-2017,19982500
09-09-2017,18718600
10-09-2017,15264300
11-09-2017,18200800
12-09-2017,18880300
13-09-2017,72843904
14-09-2017,97638704
15-09-2017,81773504
16-09-2017,38421000
17-09-2017,23469700
18-09-2017,30085100
19-09-2017,18658300
20-09-2017,24051100
21-09-2017,29924600
22-09-2017,33544600
23-09-2017,24621700
24-09-2017,24782500
25-09-2017,33582700
26-09-2017,106794000
27-09-2017,44399000
28-09-2017,44352200
29-09-2017,32213400
30-09-2017,26605200
01-10-2017,23348200
02-10-2017,29128500
03-10-2017,30612100
04-10-2017,40783700
05-10-2017,26594300
06-10-2017,22516400
07-10-2017,24435300
08-10-2017,21604200
09-10-2017,17145200
10-10-2017,27791300
11-10-2017,21115100
12-10-2017,17201900
13-10-2017,15206200
14-10-2017,42744400
15-10-2017,49732500
16-10-2017,56552400
17-10-2017,28153700
18-10-2017,27363100
19-10-2017,25200800
20-10-2017,18270500
21-10-2017,23876700
22-10-2017,12284200
23-10-2017,19527000
24-10-2017,16400000
25-10-2017,14200400
26-10-2017,11496200
27-10-2017,13619400
28-10-2017,44013900
29-10-2017,13949300
30-10-2017,25213700
31-10-2017,40465700
01-11-2017,50461300
02-11-2017,41383000
03-11-2017,41302400
04-11-2017,28918900
05-11-2017,17825900
06-11-2017,22067900
07-11-2017,59178200
08-11-2017,67770800
09-11-2017,33963900
10-11-2017,32585200
11-11-2017,31421500
12-11-2017,22612300
13-11-2017,11970100
14-11-2017,21516100
15-11-2017,21497200
16-11-2017,57008000
17-11-2017,52732000
18-11-2017,18456700
19-11-2017,17130100
20-11-2017,18438100
21-11-2017,22811900
22-11-2017,40073700
23-11-2017,35866900
24-11-2017,25730000
25-11-2017,17274900
26-11-2017,16040900
27-11-2017,21699400
28-11-2017,23009600
29-11-2017,22672000
30-11-2017,22877200
01-12-2017,26272600
02-12-2017,23146600
03-12-2017,12493500
04-12-2017,19649200
05-12-2017,20034200
06-12-2017,18467400
07-12-2017,30086400
08-12-2017,21643500
09-12-2017,28882000
10-12-2017,16365200
11-12-2017,12387900
12-12-2017,31181800
13-12-2017,31719000
14-12-2017,22562000
15-12-2017,24805400
16-12-2017,20429800
17-12-2017,12939000
18-12-2017,15021500
19-12-2017,18364700
20-12-2017,24978000
21-12-2017,23847900
22-12-2017,17036000
23-12-2017,21448700
24-12-2017,13957200
25-12-2017,28943700
26-12-2017,38574000
